"Project","Maven co-ordinates","JPMS module name","Released version"
"BootstrapFX","org.kordamp.bootstrapfx:bootstrapfx-core","org.kordamp.bootstrapfx.core","v0.2.2"
"Commons-BeanUtils","commons-beanutils:commons-beanutils","org.apache.commons.beanutils",""
"Commons-CLI","commons-cli:commons-cli","org.apache.commons.cli",""
"Commons-Codec","commons-codec:commons-codec","org.apache.commons.codec",""
"Commons-Collections v4","org.apache.commons:commons-collections4","org.apache.commons.collections4",""
"Commons-Collections v3","commons-collections:commons-collections","org.apache.commons.collections",""
"Commons-Compress","org.apache.commons:commons-compress","org.apache.commons.compress","v1.15"
"Commons-Crypto","org.apache.commons:commons-crypto","org.apache.commons.crypto",""
"Commons-CSV","org.apache.commons:commons-csv","org.apache.commons.csv",""
"Commons-Configuration v2","org.apache.commons:commons-configuration2","org.apache.commons.configuration2","v2.2"
"Commons-DBCP v2","org.apache.commons:commons-dbcp2","org.apache.commons.dbcp2",""
"Commons-DBUtils","commons-dbutils:commons-dbutils","org.apache.commons.dbutils",""
"Commons-IO","commons-io:commons-io","org.apache.commons.io",""
"Commons-Lang v3","org.apache.commons:commons-lang3","org.apache.commons.lang3","v3.6"
"Commons-Lang v2","commons-lang:commons-lang","org.apache.commons.lang",""
"Google-Guava","com.google.guava:guava","com.google.common","23.2-jre"
"Ikonli","org.kordamp.ikonli:ikonli-core","org.kordamp.ikonli.core","v2.0.1"
"","org.kordamp.ikonli:ikonli-devicons-pack","org.kordamp.ikonli.devicons","v2.0.1"
"","org.kordamp.ikonli:ikonli-elusive-pack","org.kordamp.ikonli.elusive","v2.0.1"
"","org.kordamp.ikonli:ikonli-feather-pack","org.kordamp.ikonli.feather","v2.0.1"
"","org.kordamp.ikonli:ikonli-fontawesome-pack","org.kordamp.ikonli.fontawesome","v2.0.1"
"","org.kordamp.ikonli:ikonli-fontelico-pack","org.kordamp.ikonli.fontelico","v2.0.1"
"","org.kordamp.ikonli:ikonli-foundation-pack","org.kordamp.ikonli.foundation","v2.0.1"
"","org.kordamp.ikonli:ikonli-hawconsfilled-pack","org.kordamp.ikonli.hawconsfilled","v2.0.1"
"","org.kordamp.ikonli:ikonli-hawconsstroke-pack","org.kordamp.ikonli.hawconsstroke","v2.0.1"
"","org.kordamp.ikonli:ikonli-icomoon-pack","org.kordamp.ikonli.icomoon","v2.0.1"
"","org.kordamp.ikonli:ikonli-ionicons-pack","org.kordamp.ikonli.ionicons","v2.0.1"
"","org.kordamp.ikonli:ikonli-javafx","org.kordamp.ikonli.javafx","v2.0.1"
"","org.kordamp.ikonli:ikonli-maki-pack","org.kordamp.ikonli.maki","v2.0.1"
"","org.kordamp.ikonli:ikonli-maki2-pack","org.kordamp.ikonli.maki2","v2.0.1"
"","org.kordamp.ikonli:ikonli-material-pack","org.kordamp.ikonli.material","v2.0.1"
"","org.kordamp.ikonli:ikonli-materialdesign-pack","org.kordamp.ikonli.materialdesign","v2.0.1"
"","org.kordamp.ikonli:ikonli-metrizeicons-pack","org.kordamp.ikonli.metrizeicons","v2.0.1"
"","org.kordamp.ikonli:ikonli-octicons-pack","org.kordamp.ikonli.octicons","v2.0.1"
"","org.kordamp.ikonli:ikonli-openiconic-pack","org.kordamp.ikonli.openiconic","v2.0.1"
"","org.kordamp.ikonli:ikonli-runestroicons-pack","org.kordamp.ikonli.runestroicons","v2.0.1"
"","org.kordamp.ikonli:ikonli-swing","org.kordamp.ikonli.swing","v2.0.1"
"","org.kordamp.ikonli:ikonli-typicons-pack","org.kordamp.ikonli.typicons","v2.0.1"
"","org.kordamp.ikonli:ikonli-weathericons-pack","org.kordamp.ikonli.weathericons","v2.0.1"
"","org.kordamp.ikonli:ikonli-websymbols-pack","org.kordamp.ikonli.websymbols","v2.0.1"
"Jackson (JSON)","com.fasterxml.jackson.core:jackson-core","com.fasterxml.jackson.core","v2.9.1"
"Jackson (JSON)","com.fasterxml.jackson.core:jackson-databind","com.fasterxml.jackson.databind","v2.9.1"
"Joda-Time","joda-time:joda-time","org.joda.time",""
"Joda-Money","org.joda:joda-money","org.joda.money",""
"Joda-Beans","org.joda:joda-beans","org.joda.beans","v2.0"
"Joda-Convert","org.joda:joda-convert","org.joda.convert","v1.9.1"
"JSilhouette","org.kordamp.jsilhouette:jsilhouette-javafx","org.kordamp.jsilhouette.javafx","v0.2.2"
"JUnit Platform","org.junit.platform:junit-platform-commons","org.junit.platform.commons","v1.0.2 or v1.1.0-M1"
"","org.junit.platform:junit-platform-console","org.junit.platform.console","v1.0.2 or v1.1.0-M1"
"","org.junit.platform:junit-platform-launcher","org.junit.platform.launcher","v1.0.2 or v1.1.0-M1"
"","org.junit.platform:junit-platform-engine","org.junit.platform.engine","v1.0.2 or v1.1.0-M1"
"","org.junit.platform:junit-platform-runner","org.junit.platform.runner","v1.0.2 or v1.1.0-M1"
"","org.junit.platform:junit-platform-suite-api","org.junit.platform.suite.api","v1.0.2 or v1.1.0-M1"
"JUnit Jupiter","org.junit.jupiter:junit-jupiter-api","org.junit.jupiter.api","v5.0.2 or v5.1.0-M1"
"","org.junit.jupiter:junit-jupiter-engine","org.junit.jupiter.engine","v5.0.2 or v5.1.0-M1"
"","org.junit.jupiter:junit-jupiter-migrationsupport","org.junit.jupiter.migrationsupport","v5.0.2 or v5.1.0-M1"
"","org.junit.jupiter:junit-jupiter-params","org.junit.jupiter.params","v5.0.2 or v5.1.0-M1"
"JUnit Vintage","org.junit.vintage:junit-vintage-engine","org.junit.vintage.engine","v4.12.2 or v5.1.0-M1"
"LWJGL","org.lwjgl:lwjgl","org.lwjgl","3.1.5"
"","org.lwjgl:lwjgl-assimp","org.lwjgl.assimp","3.1.5"
"","org.lwjgl:lwjgl-bgfx","org.lwjgl.bgfx","3.1.5"
"","org.lwjgl:lwjgl-egl","org.lwjgl.egl","3.1.5"
"","org.lwjgl:lwjgl-glfw","org.lwjgl.glfw","3.1.5"
"","org.lwjgl:lwjgl-jawt","org.lwjgl.jawt","3.1.5"
"","org.lwjgl:lwjgl-jemalloc","org.lwjgl.jemalloc","3.1.5"
"","org.lwjgl:lwjgl-lmdb","org.lwjgl.lmdb","3.1.5"
"","org.lwjgl:lwjgl-lz4","org.lwjgl.lz4","3.1.5"
"","org.lwjgl:lwjgl-nanovg","org.lwjgl.nanovg","3.1.5"
"","org.lwjgl:lwjgl-nfd","org.lwjgl.nfd","3.1.5"
"","org.lwjgl:lwjgl-nuklear","org.lwjgl.nuklear","3.1.5"
"","org.lwjgl:lwjgl-odbc","org.lwjgl.odbc","3.1.5"
"","org.lwjgl:lwjgl-openal","org.lwjgl.openal","3.1.5"
"","org.lwjgl:lwjgl-opencl","org.lwjgl.opencl","3.1.5"
"","org.lwjgl:lwjgl-opengl","org.lwjgl.opengl","3.1.5"
"","org.lwjgl:lwjgl-opengles","org.lwjgl.opengles","3.1.5"
"","org.lwjgl:lwjgl-openvr","org.lwjgl.openvr","3.1.5"
"","org.lwjgl:lwjgl-ovr","org.lwjgl.ovr","3.1.5"
"","org.lwjgl:lwjgl-par","org.lwjgl.par","3.1.5"
