Module,Project,Group ID,Artifact ID,Version
com.fasterxml.jackson.core,Jackson-core,com.fasterxml.jackson.core,jackson-core,2.9.5
com.fasterxml.jackson.databind,jackson-databind,com.fasterxml.jackson.core,jackson-databind,2.9.5
com.google.common,Guava: Google Core Libraries for Java,com.google.guava,guava,24.1-jre
com.google.gson,Gson JSON library,com.google.code.gson,gson,
com.squareup.javapoet,JavaPoet,com.squareup,javapoet,1.10.0
com.squareup.kotlinpoet,KotlinPoet,com.squareup,kotlinpoet,0.7.0
io.netty.buffer,Netty/Buffer,io.netty,netty-buffer,4.1.22.Final
io.netty.codec,Netty/Codec,io.netty,netty-codec,4.1.22.Final
io.netty.codec.dns,Netty/Codec/DNS,io.netty,netty-codec-dns,4.1.22.Final
io.netty.codec.haproxy,Netty/Codec/HAProxy,io.netty,netty-codec-haproxy,4.1.22.Final
io.netty.codec.http,Netty/Codec/HTTP,io.netty,netty-codec-http,4.1.22.Final
io.netty.codec.http2,Netty/Codec/HTTP2,io.netty,netty-codec-http2,4.1.22.Final
io.netty.codec.memcache,Netty/Codec/Memcache,io.netty,netty-codec-memcache,4.1.22.Final
io.netty.codec.mqtt,Netty/Codec/MQTT,io.netty,netty-codec-mqtt,4.1.22.Final
io.netty.codec.redis,Netty/Codec/Redis,io.netty,netty-codec-redis,4.1.22.Final
io.netty.codec.smtp,Netty/Codec/SMTP,io.netty,netty-codec-smtp,4.1.22.Final
io.netty.codec.socks,Netty/Codec/Socks,io.netty,netty-codec-socks,4.1.22.Final
io.netty.codec.stomp,Netty/Codec/Stomp,io.netty,netty-codec-stomp,4.1.22.Final
io.netty.codec.xml,Netty/Codec/XML,io.netty,netty-codec-xml,4.1.22.Final
io.netty.common,Netty/Common,io.netty,netty-common,4.1.22.Final
io.netty.handler,Netty/Handler,io.netty,netty-handler,4.1.22.Final
io.netty.handler.proxy,Netty/Handler/Proxy,io.netty,netty-handler-proxy,4.1.22.Final
io.netty.resolver,Netty/Resolver,io.netty,netty-resolver,4.1.22.Final
io.netty.resolver.dns,Netty/Resolver/DNS,io.netty,netty-resolver-dns,4.1.22.Final
io.netty.transport,Netty/Transport,io.netty,netty-transport,4.1.22.Final
io.netty.transport.epoll,Netty/Transport/Native/Epoll,io.netty,netty-transport-native-epoll,4.1.22.Final
