Project	JPMS Module Name	Maven Group	Maven Artifact	Released Version
Commons-BeanUtils	org.apache.commons.beanutils	commons-beanutils	commons-beanutils	
Commons-CLI	org.apache.commons.cli	commons-cli	commons-cli	
Commons-Codec	org.apache.commons.codec	commons-codec	commons-codec	
Commons-Collections v4	org.apache.commons.collections4	org.apache.commons	commons-collections4	
Commons-Collections v3	org.apache.commons.collections	commons-collections	commons-collections	
Apache Commons Compress	org.apache.commons.compress	org.apache.commons	commons-compress	1.15
Commons-Crypto	org.apache.commons.crypto	org.apache.commons	commons-crypto	
Commons-CSV	org.apache.commons.csv	org.apache.commons	commons-csv	
Apache Commons Configuration	org.apache.commons.configuration2	org.apache.commons	commons-configuration2	2.2
Commons-DBCP v2	org.apache.commons.dbcp2	org.apache.commons	commons-dbcp2	
Commons-DBUtils	org.apache.commons.dbutils	commons-dbutils	commons-dbutils	
Commons-IO	org.apache.commons.io	commons-io	commons-io	
Apache Commons Lang	org.apache.commons.lang3	org.apache.commons	commons-lang3	3.7
Commons-Lang v2	org.apache.commons.lang	commons-lang	commons-lang	
ASM Core	org.objectweb.asm	org.ow2.asm	asm	6.0
Guava: Google Core Libraries for Java	com.google.common	com.google.guava	guava	23.5-jre
BootstrapFX core	org.kordamp.bootstrapfx.core	org.kordamp.bootstrapfx	bootstrapfx-core	0.2.2
ikonli-core	org.kordamp.ikonli.core	org.kordamp.ikonli	ikonli-core	2.1.0
ikonli-devicons-pack	org.kordamp.ikonli.devicons	org.kordamp.ikonli	ikonli-devicons-pack	2.1.0
ikonli-elusive-pack	org.kordamp.ikonli.elusive	org.kordamp.ikonli	ikonli-elusive-pack	2.1.0
ikonli-feather-pack	org.kordamp.ikonli.feather	org.kordamp.ikonli	ikonli-feather-pack	2.1.0
ikonli-fontawesome-pack	org.kordamp.ikonli.fontawesome	org.kordamp.ikonli	ikonli-fontawesome-pack	2.1.0
ikonli-fontelico-pack	org.kordamp.ikonli.fontelico	org.kordamp.ikonli	ikonli-fontelico-pack	2.1.0
ikonli-foundation-pack	org.kordamp.ikonli.foundation	org.kordamp.ikonli	ikonli-foundation-pack	2.1.0
ikonli-hawconsfilled-pack	org.kordamp.ikonli.hawconsfilled	org.kordamp.ikonli	ikonli-hawconsfilled-pack	2.1.0
ikonli-hawconsstroke-pack	org.kordamp.ikonli.hawconsstroke	org.kordamp.ikonli	ikonli-hawconsstroke-pack	2.1.0
ikonli-icomoon-pack	org.kordamp.ikonli.icomoon	org.kordamp.ikonli	ikonli-icomoon-pack	2.1.0
ikonli-ionicons-pack	org.kordamp.ikonli.ionicons	org.kordamp.ikonli	ikonli-ionicons-pack	2.1.0
ikonli-javafx	org.kordamp.ikonli.javafx	org.kordamp.ikonli	ikonli-javafx	2.1.0
ikonli-maki-pack	org.kordamp.ikonli.maki	org.kordamp.ikonli	ikonli-maki-pack	2.1.0
ikonli-maki2-pack	org.kordamp.ikonli.maki2	org.kordamp.ikonli	ikonli-maki2-pack	2.1.0
ikonli-material-pack	org.kordamp.ikonli.material	org.kordamp.ikonli	ikonli-material-pack	2.1.0
ikonli-materialdesign-pack	org.kordamp.ikonli.materialdesign	org.kordamp.ikonli	ikonli-materialdesign-pack	2.1.0
